stars,name,full_name,html_url,description,relevance
179871,CS-Notes,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,not relevant
178383,computer-science,ossu/computer-science,https://github.com/ossu/computer-science,🎓 Path to a free self-taught education in Computer Science!,not relevant
177845,ohmyzsh,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",relevant
174673,AutoGPT,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",relevant
172225,bootstrap,twbs/bootstrap,https://github.com/twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",relevant
170289,vscode,microsoft/vscode,https://github.com/microsoft/vscode,Visual Studio Code,relevant
169862,flutter,flutter/flutter,https://github.com/flutter/flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,relevant
165926,gitignore,github/gitignore,https://github.com/github/gitignore,A collection of useful .gitignore templates,not relevant
164394,Python-100-Days,jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,Python - 100天从新手到大师,not relevant
163738,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",not relevant
155656,the-art-of-command-line,jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,"Master the command line, in one page",not relevant
151584,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,relevant
149291,JavaGuide,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,not relevant
146574,javascript,airbnb/javascript,https://github.com/airbnb/javascript,JavaScript Style Guide,not relevant
143308,transformers,huggingface/transformers,https://github.com/huggingface/transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",relevant
142256,awesome-go,avelino/awesome-go,https://github.com/avelino/awesome-go,"A curated list of awesome Go frameworks, libraries and software",not relevant
138164,ollama,ollama/ollama,https://github.com/ollama/ollama,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models.",relevant 
135250,youtube-dl,ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Command-line program to download videos from YouTube.com and other video sites,relevant
131885,Microsoft-Activation-Scripts,massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, KMS38, and Online KMS activation methods, along with advanced troubleshooting.",not relevant
131260,next.js,vercel/next.js,https://github.com/vercel/next.js,The React Framework,relevant
127667,fucking-algorithm,labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. ",not relevant
127328,go,golang/go,https://github.com/golang/go,The Go programming language,relevant
125570,tech-interview-handbook,yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,💯 Curated coding interview preparation materials for busy software engineers,not relevant
123439,30-seconds-of-code,Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,Coding articles to level up your development skills,not relevant
123290,awesome-chatgpt-prompts,f/awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.,not relevant
121630,react-native,facebook/react-native,https://github.com/facebook/react-native,A framework for building native applications using React,relevant
120951,scrcpy,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,Display and control your Android device,relevant
117575,PowerToys,microsoft/PowerToys,https://github.com/microsoft/PowerToys,Windows system utilities to maximize productivity,relevant
116481,electron,electron/electron,https://github.com/electron/electron,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",relevant
114588,kubernetes,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Production-Grade Container Scheduling and Management,relevant
113426,free-programming-books-zh_CN,justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,:books: 免费的计算机编程类中文书籍，欢迎投稿,not relevant
111822,hello-algo,krahets/hello-algo,https://github.com/krahets/hello-algo,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version ongoing",not relevant
110718,node,nodejs/node,https://github.com/nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,relevant
110426,d3,d3/d3,https://github.com/d3/d3,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",relevant
108767,yt-dlp,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,A feature-rich command-line audio/video downloader,relevant
106720,axios,axios/axios,https://github.com/axios/axios,Promise based HTTP client for the browser and node.js,relevant
106123,langchain,langchain-ai/langchain,https://github.com/langchain-ai/langchain,🦜🔗 Build context-aware reasoning applications,relevant
105825,three.js,mrdoob/three.js,https://github.com/mrdoob/three.js,JavaScript 3D Library.,relevant
104093,TypeScript,microsoft/TypeScript,https://github.com/microsoft/TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,relevant
103156,create-react-app,facebook/create-react-app,https://github.com/facebook/create-react-app,Set up a modern web app by running one command.,relevant
102878,rust,rust-lang/rust,https://github.com/rust-lang/rust,Empowering everyone to build reliable and efficient software.,relevant
102703,deno,denoland/deno,https://github.com/denoland/deno,A modern runtime for JavaScript and TypeScript.,relevant
102406,nodebestpractices,goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,:white_check_mark:  The Node.js best practices list (July 2024),not relevant
101751,HelloGitHub,521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",not relevant
98020,excalidraw,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,Virtual whiteboard for sketching hand-drawn like diagrams,relevant
97774,terminal,microsoft/terminal,https://github.com/microsoft/terminal,"The new Windows Terminal and the original Windows console host, all in the same place!",relevant
97545,angular,angular/angular,https://github.com/angular/angular,Deliver web apps with confidence 🚀,relevant
96421,godot,godotengine/godot,https://github.com/godotengine/godot,Godot Engine – Multi-platform 2D and 3D game engine,relevant
95921,DeepSeek-V3,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,,unsure
95404,material-ui,mui/material-ui,https://github.com/mui/material-ui,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,relevant
94891,free-for-dev,ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev",not relevant
94346,ant-design,ant-design/ant-design,https://github.com/ant-design/ant-design,An enterprise-class UI design language and React UI library,relevant
93331,dify,langgenius/dify,https://github.com/langgenius/dify,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production.",relevant
92934,frp,fatedier/frp,https://github.com/fatedier/frp,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,relevant
92824,clean-code-javascript,ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,Clean Code concepts adapted for JavaScript,not relevant
92610,iptv,iptv-org/iptv,https://github.com/iptv-org/iptv,Collection of publicly available IPTV channels from all over the world,not relevant
92508,papers-we-love,papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,Papers from the computer science community to read and discuss.,not relevant
91709,tauri,tauri-apps/tauri,https://github.com/tauri-apps/tauri,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",relevant
91544,thefuck,nvbn/thefuck,https://github.com/nvbn/thefuck,Magnificent app which corrects your previous console command.,relevant
91541,Awesome-Hacking,Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,"A collection of various awesome lists for hackers, pentesters and security researchers",not relevant
91342,java-design-patterns,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,Design patterns implemented in Java,not relevant
90701,open-webui,open-webui/open-webui,https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",relevant
90447,puppeteer,puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,JavaScript API for Chrome and Firefox,relevant
89253,pytorch,pytorch/pytorch,https://github.com/pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,relevant
89164,vue-element-admin,PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin,relevant
88845,neovim,neovim/neovim,https://github.com/neovim/neovim,Vim-fork focused on extensibility and usability,relevant
88714,DeepSeek-R1,deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,,unsure
87427,Web-Dev-For-Beginners,microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,"24 Lessons, 12 Weeks, Get Started as a Web Developer",not relevant
87301,tailwindcss,tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,A utility-first CSS framework for rapid UI development.,relevant
87165,rustdesk,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",relevant
86930,every-programmer-should-know,mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,A collection of (mostly) technical things every software developer should know about,not relevant
86438,storybook,storybookjs/storybook,https://github.com/storybookjs/storybook,"Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation",relevant
85730,ui,shadcn-ui/ui,https://github.com/shadcn-ui/ui,"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code.",relevant
84392,n8n,n8n-io/n8n,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",relevant
84088,nvm,nvm-sh/nvm,https://github.com/nvm-sh/nvm,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions,relevant
83586,fastapi,fastapi/fastapi,https://github.com/fastapi/fastapi,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",relevant
83249,django,django/django,https://github.com/django/django,The Web framework for perfectionists with deadlines.,relevant
82999,bitcoin,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,Bitcoin Core integration/staging tree,relevant
82987,app-ideas,florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,A Collection of application ideas which can be used to improve your coding skills.,not relevant
82911,NextChat,ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows,relevant
82331,svelte,sveltejs/svelte,https://github.com/sveltejs/svelte,web development for the rest of us,relevant
82187,awesome-mac,jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac," Now we have become very big, Different from the original idea. Collect premium software in various categories.",not relevant
81849,gin,gin-gonic/gin,https://github.com/gin-gonic/gin,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.",relevant
81805,opencv,opencv/opencv,https://github.com/opencv/opencv,Open Source Computer Vision Library,relevant
81605,animate.css,animate-css/animate.css,https://github.com/animate-css/animate.css,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.,relevant
81468,realworld,gothinkster/realworld,https://github.com/gothinkster/realworld,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more",relevant
81276,supabase,supabase/supabase,https://github.com/supabase/supabase,"The open source Firebase alternative. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",relevant
80655,laravel,laravel/laravel,https://github.com/laravel/laravel,"Laravel is a web application framework with expressive, elegant syntax. We’ve already laid the foundation for your next big idea — freeing you to create without sweating the small things.",relevant
80446,whisper,openai/whisper,https://github.com/openai/whisper,Robust Speech Recognition via Large-Scale Weak Supervision,relevant
80004,mall,macrozheng/mall,https://github.com/macrozheng/mall,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,relevant
79733,hugo,gohugoio/hugo,https://github.com/gohugoio/hugo,The world’s fastest framework for building websites.,relevant
79495,HowToCook,Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,程序员在家做饭方法指南。Programmer's guide about how to cook at home (Simplified Chinese only).,not relevant
78781,FiraCode,tonsky/FiraCode,https://github.com/tonsky/FiraCode,Free monospaced font with programming ligatures,relevant
78723,generative-ai-for-beginners,microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,"21 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/",not relevant
78565,llama.cpp,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++,relevant
78463,v2rayN,2dust/v2rayN,https://github.com/2dust/v2rayN,"A GUI client for Windows, Linux and macOS, support Xray and sing-box and others",relevant
78427,mermaid,mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown,relevant
78194,core,home-assistant/core,https://github.com/home-assistant/core,:house_with_garden: Open source home automation that puts local control and privacy first.,relevant
77603,bun,oven-sh/bun,https://github.com/oven-sh/bun,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one",relevant
77499,models,tensorflow/models,https://github.com/tensorflow/models,Models and examples built with TensorFlow,not relevant
77483,advanced-java,doocs/advanced-java,https://github.com/doocs/advanced-java,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,not relevant
76918,manim,3b1b/manim,https://github.com/3b1b/manim,Animation engine for explanatory math videos,relevant
76859,spring-boot,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",relevant
75847,LeetCodeAnimation,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,not relevant
74966,Font-Awesome,FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,"The iconic SVG, font, and CSS toolkit",relevant
74900,ComfyUI,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",relevant
74446,awesome-interview-questions,DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,:octocat: A curated awesome list of lists of interview questions. Feel free to contribute! :mortar_board:,not relevant
74332,netdata,netdata/netdata,https://github.com/netdata/netdata,X-Ray Vision for your infrastructure!,relevant
74111,devops-exercises,bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions",not relevant
74077,json-server,typicode/json-server,https://github.com/typicode/json-server,Get a full fake REST API with zero coding in less than 30 seconds (seriously),relevant
73366,awesome-for-beginners,MunGell/awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,A list of awesome beginners-friendly projects.,not relevant
73157,gpt4all,nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,relevant
72805,awesome-vue,vuejs/awesome-vue,https://github.com/vuejs/awesome-vue,🎉 A curated list of awesome things related to Vue.js,not relevant
72709,github-readme-stats,anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,:zap: Dynamically generated stats for your github readmes,relevant
