project_name,total_contributors,num_core_contributors,num_config_contributors,num_config_core,num_config_non_core,pct_config_are_core,total_config_commits,config_commits_by_core,config_commits_by_non_core,pct_config_commits_by_core
ImHex,156,1,40,1,39,2.5,708,540,168,76.27118644067797
Infisical_infisical,216,8,98,8,90,8.16326530612245,3714,3124,590,84.11416262789444
Inquirer.js,237,4,50,4,46,8.0,722,661,61,91.55124653739612
Iosevka,80,1,27,1,26,3.7037037037037033,2299,2059,240,89.56067855589387
Jobs_Applier_AI_Agent_AIHawk,9,1,1,1,0,100.0,2,2,0,100.0
KaTeX,166,9,38,9,29,23.684210526315788,502,449,53,89.44223107569721
Karabiner-Elements,52,1,19,1,18,5.263157894736842,681,659,22,96.76945668135095
Kingfisher,235,1,7,1,6,14.285714285714285,239,232,7,97.07112970711297
Kong_insomnia,340,9,93,9,84,9.67741935483871,2401,2093,308,87.17201166180757
LLMs-from-scratch,48,1,9,1,8,11.11111111111111,106,88,18,83.01886792452831
LLaMA-Factory,205,2,45,2,43,4.444444444444445,398,318,80,79.89949748743719
Langchain-Chatchat,174,5,24,5,19,20.833333333333336,266,184,82,69.17293233082707
LazyVim,281,14,7,3,4,42.857142857142854,61,57,4,93.44262295081968
Leaflet,943,37,42,17,25,40.476190476190474,379,353,26,93.13984168865436
LibreChat,220,5,67,5,62,7.462686567164178,923,781,142,84.61538461538461
LightRAG,164,6,32,6,26,18.75,293,215,78,73.37883959044369
LocalAI,135,1,39,1,38,2.564102564102564,1531,1400,131,91.4435009797518
LunarVim,312,15,31,10,21,32.25806451612903,235,212,23,90.2127659574468
MMKV,54,1,9,1,8,11.11111111111111,230,215,15,93.47826086956522
MPAndroidChart,80,2,18,2,16,11.11111111111111,247,213,34,86.23481781376519
MagicMirror,348,33,154,28,126,18.181818181818183,1447,1225,222,84.65791292328957
Magisk,318,5,201,5,196,2.4875621890547266,2030,1161,869,57.19211822660098
MediaCrawler,55,3,4,1,3,25.0,13,9,4,69.23076923076923
MetaGPT,151,14,61,14,47,22.950819672131146,827,638,189,77.14631197097944
MinerU,62,2,24,2,22,8.333333333333332,620,523,97,84.35483870967741
MiniCPM-o,40,9,5,4,1,80.0,13,12,1,92.3076923076923
Mobile-Security-Framework-MobSF,96,2,29,2,27,6.896551724137931,547,499,48,91.22486288848263
MoneyPrinterTurbo,32,2,15,2,13,13.333333333333334,139,109,30,78.41726618705036
NaiboWang_EasySpider,8,1,1,1,0,100.0,333,333,0,100.0
NationalSecurityAgency_ghidra,362,7,39,7,32,17.94871794871795,1141,976,165,85.53900087642418
NativeScript_NativeScript,255,15,84,15,69,17.857142857142858,2202,1922,280,87.28428701180745
NervJS_taro,708,26,164,26,138,15.853658536585366,4063,3535,528,87.00467634752646
NewPipe,946,102,792,101,691,12.75252525252525,7017,5258,1759,74.93230725381217
NextChat,283,25,73,18,55,24.65753424657534,470,389,81,82.76595744680851
NginxProxyManager_nginx-proxy-manager,235,15,133,13,120,9.774436090225564,821,639,182,77.83191230207065
NvChad,195,8,9,3,6,33.33333333333333,36,24,12,66.66666666666666
OCRmyPDF,110,1,14,1,13,7.142857142857142,518,493,25,95.17374517374517
OI-wiki,1012,79,139,63,76,45.32374100719424,1303,1155,148,88.6415963161934
OSX-KVM,14,6,2,1,1,50.0,8,7,1,87.5
OmniParser,6,2,2,2,0,100.0,12,12,0,100.0
OpenAPI-Specification,239,12,72,11,61,15.277777777777779,918,735,183,80.06535947712419
OpenAPITools_openapi-generator,3299,372,1082,298,784,27.54158964879852,6576,5623,953,85.50790754257908
OpenBB-finance_OpenBB,253,14,98,14,84,14.285714285714285,2279,1863,416,81.74637999122422
OpenClash,76,1,11,1,10,9.090909090909092,235,222,13,94.46808510638299
OpenHands,343,19,120,19,101,15.833333333333332,1000,826,174,82.6
OpenManus,59,13,25,10,15,40.0,115,92,23,80.0
OpenVoice,14,3,1,1,0,100.0,1,1,0,100.0
PDFMathTranslate,53,4,16,4,12,25.0,266,237,29,89.09774436090225
PHPMailer,286,3,25,3,22,12.0,308,270,38,87.66233766233766
PaddleOCR,258,13,82,13,69,15.853658536585366,1148,885,263,77.09059233449477
Perplexica,33,1,9,1,8,11.11111111111111,121,112,9,92.56198347107438
PicGo,19,1,4,1,3,25.0,201,197,4,98.00995024875621
PostHog_posthog,349,35,155,35,120,22.58064516129032,6285,5397,888,85.87112171837708
PowerShell_PowerShell,505,28,100,23,77,23.0,2027,1794,233,88.50518006906759
PowerToys,546,35,108,33,75,30.555555555555557,826,640,186,77.4818401937046
PrefectHQ_prefect,364,17,133,17,116,12.781954887218044,5824,4708,1116,80.83791208791209
Proton,93,4,5,3,2,60.0,23,21,2,91.30434782608695
QuickLook,69,2,3,2,1,66.66666666666666,64,63,1,98.4375
Qwen3,47,9,6,3,3,50.0,34,28,6,82.35294117647058
Qwen,36,5,7,3,4,42.857142857142854,24,13,11,54.166666666666664
RSSHub,1388,205,101,55,46,54.45544554455446,865,815,50,94.21965317919076
ReactiveX_RxSwift,406,32,35,15,20,42.857142857142854,219,195,24,89.04109589041096
Real-Time-Voice-Cloning,19,1,2,1,1,50.0,3,2,1,66.66666666666666
Rectangle,148,12,6,3,3,50.0,34,31,3,91.17647058823529
RevokeMsgPatcher,6,1,1,1,0,100.0,91,91,0,100.0
Rocket,310,2,70,2,68,2.857142857142857,682,596,86,87.3900293255132
RustPython,447,21,123,19,104,15.447154471544716,1674,1461,213,87.27598566308244
RxJava,321,9,29,7,22,24.137931034482758,260,215,45,82.6923076923077
SDWebImage,325,4,11,3,8,27.27272727272727,179,163,16,91.06145251396647
Sa-Token,127,1,22,1,21,4.545454545454546,538,435,103,80.85501858736059
Scrapegraph-ai,101,3,26,3,23,11.538461538461538,682,629,53,92.22873900293254
ScreenToGif,109,4,1,1,0,100.0,14,14,0,100.0
Seal,39,1,15,1,14,6.666666666666667,668,547,121,81.88622754491018
SeleniumHQ_selenium,908,25,136,25,111,18.38235294117647,3400,2567,833,75.5
ShareX,268,1,9,1,8,11.11111111111111,205,189,16,92.19512195121952
SingleFile,49,1,28,1,27,3.571428571428571,2749,2453,296,89.23244816296835
SmartTube,132,1,118,1,117,0.847457627118644,5282,3541,1741,67.03900037864446
SmsForwarder,26,1,16,1,15,6.25,458,433,25,94.54148471615721
SnapKit,89,7,12,3,9,25.0,25,16,9,64.0
Sortable,175,14,23,9,14,39.130434782608695,178,164,14,92.13483146067416
SteamTools,22,3,10,3,7,30.0,609,531,78,87.192118226601
Stirling-PDF,249,14,176,13,163,7.386363636363637,1534,1182,352,77.05345501955672
Sunshine,138,6,40,5,35,12.5,777,673,104,86.61518661518662
SwiftLint,433,12,54,10,44,18.51851851851852,606,551,55,90.92409240924091
SwiftyJSON,158,27,14,10,4,71.42857142857143,81,77,4,95.06172839506173
SwitchHosts,46,1,8,1,7,12.5,418,361,57,86.36363636363636
TDengine,250,17,96,17,79,17.708333333333336,4518,3219,1299,71.24833997343958
Tasmota,551,8,134,8,126,5.970149253731343,2983,2621,362,87.86456587328193
ToolJet_ToolJet,637,21,132,21,111,15.909090909090908,2552,2228,324,87.3040752351097
TrafficMonitor,45,1,16,1,15,6.25,137,85,52,62.04379562043796
TriliumNext_trilium,265,4,165,4,161,2.4242424242424243,7357,5906,1451,80.27728693761044
TryGhost_Ghost,752,17,306,17,289,5.555555555555555,9254,7282,1972,78.69029608817809
UTM,93,1,9,1,8,11.11111111111111,178,166,12,93.25842696629213
Umi-OCR,18,1,3,1,2,33.33333333333333,49,47,2,95.91836734693877
Ventoy,117,4,85,4,81,4.705882352941177,580,418,162,72.06896551724138
WSL,88,14,25,10,15,40.0,152,134,18,88.1578947368421
WordPress,122,26,31,10,21,32.25806451612903,258,126,132,48.837209302325576
Wox,135,4,17,4,13,23.52941176470588,577,555,22,96.18717504332756
WxJava,520,37,68,20,48,29.411764705882355,750,693,57,92.4
XX-Net,78,3,22,3,19,13.636363636363635,310,275,35,88.70967741935483
Xray-core,181,23,29,11,18,37.93103448275862,67,45,22,67.16417910447761
YesPlayMusic,74,9,30,8,22,26.666666666666668,164,131,33,79.8780487804878
ace,566,23,95,19,76,20.0,844,703,141,83.29383886255924
acme.sh,585,84,76,35,41,46.05263157894737,639,567,72,88.73239436619718
act,208,41,56,23,33,41.07142857142857,316,280,36,88.60759493670885
actix-web,385,4,92,4,88,4.3478260869565215,1560,1397,163,89.55128205128206
actual,333,21,71,21,50,29.577464788732392,711,624,87,87.76371308016878
age,54,3,7,2,5,28.57142857142857,40,35,5,87.5
agenticSeek,33,2,11,2,9,18.181818181818183,130,109,21,83.84615384615385
agentic,141,1,13,1,12,7.6923076923076925,733,719,14,98.09004092769442
agno,227,7,45,7,38,15.555555555555555,622,540,82,86.81672025723472
ai-hedge-fund,30,1,8,1,7,12.5,61,51,10,83.60655737704919
aider,164,1,38,1,37,2.631578947368421,1035,960,75,92.7536231884058
air,102,21,31,13,18,41.935483870967744,124,105,19,84.67741935483872
airbnb_lottie-ios,262,34,27,10,17,37.03703703703704,348,331,17,95.11494252873564
alacritty,453,44,152,31,121,20.394736842105264,706,570,136,80.73654390934844
alpine,294,19,33,13,20,39.39393939393939,461,435,26,94.36008676789588
amark_gun,154,5,50,5,45,10.0,696,570,126,81.89655172413794
angular-cli,743,9,205,9,196,4.390243902439024,5734,4841,893,84.42622950819673
angular_angular,2298,55,475,55,420,11.578947368421053,9311,8243,1068,88.52969605842553
anime,56,1,5,1,4,20.0,57,51,6,89.47368421052632
anki,312,4,44,4,40,9.090909090909092,1019,806,213,79.09715407262021
anoma,17,4,9,4,5,44.44444444444444,108,83,25,76.85185185185185
ansible_ansible,6061,340,1405,245,1160,17.437722419928825,12185,10520,1665,86.33565859663521
ant-design-pro,349,20,77,16,61,20.77922077922078,758,683,75,90.10554089709763
ant-design-vue,290,3,26,3,23,11.538461538461538,819,757,62,92.42979242979243
ant-design,2375,42,259,38,221,14.671814671814673,5912,5411,501,91.52571041948579
antlr4,405,8,93,8,85,8.60215053763441,1177,983,194,83.51741716227697
anything-llm,135,2,30,2,28,6.666666666666667,356,319,37,89.60674157303372
apache_airflow,3592,191,775,170,605,21.935483870967744,8066,7129,937,88.38333746590628
apache_echarts,307,5,54,5,49,9.25925925925926,1319,1172,147,88.855193328279
apache_shardingsphere,672,16,273,16,257,5.86080586080586,11328,7863,3465,69.41207627118644
apache_spark,2669,152,545,137,408,25.137614678899084,5589,4784,805,85.59670781893004
apache_superset,1324,51,335,50,285,14.925373134328357,3199,2731,468,85.37042825883088
apify_crawlee,107,6,42,6,36,14.285714285714285,1574,1372,202,87.16645489199492
apollo,190,3,73,3,70,4.10958904109589,898,732,166,81.51447661469933
apollographql_apollo-client,867,14,156,14,142,8.974358974358974,5733,5158,575,89.97034711320426
appium,380,10,114,10,104,8.771929824561402,2420,2137,283,88.30578512396694
appsmithorg_appsmith,336,46,170,45,125,26.47058823529412,6301,5423,878,86.0657038565307
argoproj_argo-cd,1734,317,490,207,283,42.244897959183675,2195,1891,304,86.1503416856492
arthas,215,7,34,4,30,11.76470588235294,533,473,60,88.74296435272045
asdf,276,19,19,10,9,52.63157894736842,162,150,12,92.5925925925926
aseprite,143,1,60,1,59,1.6666666666666667,1536,1309,227,85.22135416666666
atuinsh_atuin,241,44,96,34,62,35.41666666666667,437,370,67,84.66819221967964
autocomplete,480,38,50,25,25,50.0,1737,1699,38,97.81232009211284
autogen,498,45,102,40,62,39.21568627450981,615,538,77,87.47967479674796
automa,45,1,27,1,26,3.7037037037037033,920,803,117,87.28260869565217
ava,330,22,87,18,69,20.689655172413794,782,697,85,89.13043478260869
axios,504,169,59,37,22,62.71186440677966,407,385,22,94.5945945945946
axum,377,70,89,38,51,42.69662921348314,521,466,55,89.44337811900192
babel,1166,15,486,15,471,3.0864197530864197,7125,5882,1243,82.55438596491229
backbone,350,13,37,12,25,32.432432432432435,243,194,49,79.83539094650206
backstage_backstage,1939,116,805,115,690,14.285714285714285,14634,12471,2163,85.21935219352194
badges_shields,559,37,78,17,61,21.794871794871796,699,628,71,89.84263233190272
bagisto,241,8,93,8,85,8.60215053763441,5437,4423,1014,81.35000919624792
baidu_amis,320,11,64,11,53,17.1875,1483,1274,209,85.9069453809845
barry-ran_QtScrcpy,28,1,9,1,8,11.11111111111111,125,104,21,83.2
base_node,74,30,29,17,12,58.620689655172406,126,114,12,90.47619047619048
bat,393,56,84,31,53,36.904761904761905,544,480,64,88.23529411764706
bazel,1067,11,62,8,54,12.903225806451612,756,638,118,84.39153439153439
bcc,651,74,27,16,11,59.25925925925925,113,98,15,86.72566371681415
beego,509,40,50,18,32,36.0,306,262,44,85.62091503267973
beekeeper-studio,152,5,56,5,51,8.928571428571429,1889,1676,213,88.72419269454738
bettercap,95,1,18,1,17,5.555555555555555,162,138,24,85.18518518518519
bevy,1234,169,357,150,207,42.016806722689076,1867,1607,260,86.07391537225494
bilibili-API-collect,209,40,11,7,4,63.63636363636363,34,29,5,85.29411764705883
biome,524,28,167,26,141,15.568862275449103,2288,1919,369,83.87237762237763
bitcoin,1114,23,126,23,103,18.253968253968253,2237,1969,268,88.0196691998212
black,461,95,104,56,48,53.84615384615385,368,319,49,86.68478260869566
blueprint,433,25,124,22,102,17.741935483870968,1174,1010,164,86.03066439522998
bokeh,668,12,100,12,88,12.0,3412,2781,631,81.50644783118406
bootstrap,1552,11,163,11,152,6.748466257668712,2965,2661,304,89.74704890387858
brave-browser,102,5,46,4,42,8.695652173913043,6918,6399,519,92.4978317432784
brew,1160,25,110,23,87,20.909090909090907,3422,3049,373,89.0999415546464
browser-use,221,7,64,7,57,10.9375,961,797,164,82.93444328824141
bruno,344,29,91,25,66,27.472527472527474,798,700,98,87.71929824561403
btop,125,10,11,5,6,45.45454545454545,211,199,12,94.3127962085308
bubbletea,137,7,12,6,6,50.0,66,52,14,78.78787878787878
bulletproof-react,51,6,6,3,3,50.0,62,59,3,95.16129032258065
caddy,314,10,23,9,14,39.130434782608695,153,137,16,89.54248366013073
cadvisor,356,22,91,17,74,18.681318681318682,507,404,103,79.6844181459566
calcom_cal.com,806,26,311,26,285,8.360128617363344,4670,3809,861,81.56316916488223
calculator,104,15,15,10,5,66.66666666666666,196,180,16,91.83673469387756
calibre,413,2,50,2,48,4.0,2219,1520,699,68.49932401982876
canal,243,17,94,16,78,17.02127659574468,646,556,90,86.06811145510835
carbon-lang,155,6,27,6,21,22.22222222222222,302,272,30,90.06622516556291
casbin,155,11,27,9,18,33.33333333333333,117,96,21,82.05128205128204
ccxt_ccxt,796,5,165,5,160,3.0303030303030303,28851,26958,1893,93.43870229801394
celery,1305,15,89,14,75,15.730337078651685,962,847,115,88.04573804573805
certbot,516,11,114,11,103,9.649122807017543,1733,1394,339,80.43854587420658
chakra-ui,720,7,110,7,103,6.363636363636363,2454,2194,260,89.40505297473513
chatgpt-on-wechat,100,7,36,7,29,19.444444444444446,211,162,49,76.77725118483413
chatwoot_chatwoot,300,8,125,8,117,6.4,1990,1636,354,82.2110552763819
cheerio,157,7,39,6,33,15.384615384615385,363,324,39,89.25619834710744
cherry-studio,249,12,120,12,108,10.0,1094,891,203,81.44424131627058
chi,155,18,8,6,2,75.0,69,67,2,97.10144927536231
chroma,169,11,45,11,34,24.444444444444443,1137,964,173,84.78452066842567
cilium_cilium,1121,37,463,37,426,7.991360691144708,7310,5754,1556,78.7140902872777
clash-verge-rev,103,5,52,5,47,9.615384615384617,1022,855,167,83.65949119373776
classnames,53,7,12,4,8,33.33333333333333,117,107,10,91.45299145299145
cli,314,22,41,17,24,41.46341463414634,625,590,35,94.39999999999999
cline,173,8,48,8,40,16.666666666666664,721,590,131,81.83079056865465
cloc,134,2,46,1,45,2.1739130434782608,421,355,66,84.32304038004752
cloudreve,45,1,11,1,10,9.090909090909092,128,110,18,85.9375
cmder,144,6,33,6,27,18.181818181818183,469,394,75,84.00852878464818
cobalt,44,2,25,2,23,8.0,1040,999,41,96.0576923076923
cobra,316,104,25,19,6,76.0,75,69,6,92.0
coc.nvim,269,1,55,1,54,1.8181818181818181,1080,927,153,85.83333333333333
code-server,253,4,88,4,84,4.545454545454546,1117,917,200,82.09489704565802
codemirror5,938,51,17,6,11,35.294117647058826,285,274,11,96.14035087719299
codex,116,27,31,16,15,51.61290322580645,163,148,15,90.79754601226993
colima,81,1,14,1,13,7.142857142857142,92,74,18,80.43478260869566
colly,125,22,13,8,5,61.53846153846154,45,39,6,86.66666666666667
commander.js,189,8,43,6,37,13.953488372093023,362,318,44,87.84530386740332
commitlint,266,32,74,24,50,32.432432432432435,720,663,57,92.08333333333333
compiler-explorer_compiler-explorer,557,13,388,13,375,3.350515463917526,4656,3490,1166,74.95704467353951
components,832,11,78,11,67,14.102564102564102,2658,2267,391,85.28969149736643
compose-multiplatform,161,10,36,9,27,25.0,599,526,73,87.81302170283807
compose-samples,132,18,62,18,44,29.03225806451613,1127,912,215,80.92280390417037
compose,217,8,71,8,63,11.267605633802818,1027,830,197,80.81791626095423
composer,1171,53,149,35,114,23.48993288590604,967,803,164,83.04033092037228
composio,14,4,11,4,7,36.36363636363637,433,351,82,81.06235565819861
conductor,339,27,128,27,101,21.09375,1102,892,210,80.94373865698729
config,2,1,1,1,0,100.0,414,414,0,100.0
consul,1003,52,202,50,152,24.752475247524753,2211,1695,516,76.66214382632293
containerd,711,20,156,20,136,12.82051282051282,3242,2842,400,87.66193707587908
continuedev_continue,444,6,151,6,145,3.9735099337748347,7279,6036,1243,82.92347849979393
core-js,138,1,13,1,12,7.6923076923076925,2302,2273,29,98.74022589052997
core,381,17,57,14,43,24.561403508771928,1188,1085,103,91.32996632996633
coreutils,671,29,251,29,222,11.553784860557768,4353,3850,503,88.44475074661153
cosmopolitan,92,2,11,1,10,9.090909090909092,49,33,16,67.3469387755102
cpython,3072,56,140,37,103,26.42857142857143,920,476,444,51.73913043478261
crawl4ai,37,1,3,1,2,33.33333333333333,154,137,17,88.96103896103897
create-t3-app,350,100,64,39,25,60.9375,377,352,25,93.36870026525199
crewAI,249,21,61,18,43,29.508196721311474,575,521,54,90.6086956521739
croc,114,1,18,1,17,5.555555555555555,192,152,40,79.16666666666666
crystal,537,8,31,7,24,22.58064516129032,589,520,69,88.28522920203736
cube,332,10,107,10,97,9.345794392523365,3369,2833,536,84.09023449094687
curl,1380,8,75,5,70,6.666666666666667,1434,947,487,66.03905160390516
cursor-free-vip,46,3,23,3,20,13.043478260869565,184,151,33,82.06521739130434
cypress-io_cypress,497,6,156,6,150,3.8461538461538463,6534,4961,1573,75.92592592592592
czkawka,70,1,17,1,16,5.88235294117647,226,205,21,90.7079646017699
d2,65,4,29,4,25,13.793103448275861,1830,1572,258,85.90163934426229
daisyui,275,1,54,1,53,1.8518518518518516,733,665,68,90.72305593451568
dapr,305,27,148,27,121,18.243243243243242,1880,1550,330,82.4468085106383
darkreader,1550,173,74,20,54,27.027027027027028,952,891,61,93.59243697478992
dashy,179,2,81,1,80,1.2345679012345678,1055,900,155,85.30805687203792
dayjs,339,61,22,15,7,68.18181818181817,188,181,7,96.27659574468085
daytona,191,17,155,17,138,10.967741935483872,409,256,153,62.59168704156479
dbeaver_dbeaver,402,3,256,3,253,1.171875,8735,6474,2261,74.11562678878076
ddia,112,11,3,2,1,66.66666666666666,10,8,2,80.0
decaporg_decap-cms,575,40,100,30,70,30.0,1290,1205,85,93.4108527131783
deepface,87,3,11,2,9,18.181818181818183,126,107,19,84.92063492063492
delta,145,2,29,2,27,6.896551724137931,358,207,151,57.821229050279335
delve,245,5,16,4,12,25.0,112,90,22,80.35714285714286
deno,1034,30,242,29,213,11.983471074380166,3938,3515,423,89.25850685627222
deskflow,126,6,27,6,21,22.22222222222222,610,479,131,78.52459016393442
deskreen,24,1,20,1,19,5.0,141,109,32,77.30496453900709
desktop,143,1,27,1,26,3.7037037037037033,1614,1514,100,93.80421313506815
detectron2,263,33,25,16,9,64.0,206,197,9,95.63106796116504
dev-sidecar,11,2,5,2,3,40.0,226,214,12,94.69026548672566
devdocs,259,3,28,3,25,10.714285714285714,417,339,78,81.29496402877699
devise,688,75,64,32,32,50.0,272,237,35,87.13235294117648
dgraph,213,26,86,26,60,30.23255813953488,1121,844,277,75.28991971454059
dgtlmoon_changedetection.io,108,1,29,1,28,3.4482758620689653,287,228,59,79.44250871080139
diagrams,166,48,24,8,16,33.33333333333333,118,102,16,86.4406779661017
diff-so-fancy,89,8,11,4,7,36.36363636363637,119,101,18,84.87394957983193
diffusers,934,99,94,43,51,45.744680851063826,576,515,61,89.40972222222221
dimsemenov_PhotoSwipe,79,2,15,2,13,13.333333333333334,165,148,17,89.6969696969697
dioxus,350,3,126,3,123,2.380952380952381,2293,1971,322,85.95726122982992
directus_directus,491,9,302,9,293,2.980132450331126,4671,4066,605,87.0477413830015
discord.js,522,25,89,24,65,26.96629213483146,1868,1724,144,92.29122055674517
disruptor,73,5,19,4,15,21.052631578947366,213,168,45,78.87323943661971
distroless,141,11,70,11,59,15.714285714285714,1149,981,168,85.37859007832898
dive,69,5,17,4,13,23.52941176470588,105,87,18,82.85714285714286
django-rest-framework,1347,124,109,62,47,56.88073394495413,850,789,61,92.82352941176471
django,2925,67,156,52,104,33.33333333333333,890,771,119,86.62921348314607
docker-elk,66,3,43,3,40,6.976744186046512,228,183,45,80.26315789473685
dockge,94,31,89,31,58,34.831460674157306,272,208,64,76.47058823529412
docling,98,13,37,10,27,27.027027027027028,224,196,28,87.5
docs,45,8,13,6,7,46.15384615384615,160,141,19,88.125
docsify,194,7,25,7,18,28.000000000000004,581,519,62,89.328743545611
docusaurus,1202,150,261,83,178,31.800766283524908,1772,1586,186,89.50338600451467
dokku,554,2,36,2,34,5.555555555555555,1767,1568,199,88.737973967176
dolt,135,14,50,14,36,28.000000000000004,2438,1980,458,81.21410992616899
doomemacs,775,1,8,1,7,12.5,130,117,13,90.0
dotenv,93,2,23,2,21,8.695652173913043,272,235,37,86.39705882352942
dotnet_aspnetcore,1388,27,250,27,223,10.8,10513,8772,1741,83.43955103205555
draggable,47,3,11,3,8,27.27272727272727,146,133,13,91.0958904109589
dragonfly,134,7,49,7,42,14.285714285714285,439,334,105,76.08200455580865
drawdb,83,3,14,2,12,14.285714285714285,130,110,20,84.61538461538461
drawio-desktop,13,2,9,2,7,22.22222222222222,602,563,39,93.52159468438538
driver.js,49,1,9,1,8,11.11111111111111,147,138,9,93.87755102040816
