Option,Concept,Values,Num_Values
project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.configuration.images.image.build.from,maven,"['java:8', 'openjdk:8', 'openjdk:17']",3
project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.configuration.images.image.build.maintainer,maven,['macrozheng'],1
project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.configuration.images.image.name,maven,['mall/${project.name}:${project.version}'],1
project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.executions.execution.goals.goal,maven,['build'],1
project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.executions.execution.id,maven,['build-image'],1
project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.executions.execution.phase,maven,['package'],1
project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.groupId,maven,['io.fabric8'],1
project.build.pluginManagement.plugins.plugin.io.fabric8:docker-maven-plugin:${docker.maven.plugin.version}.version,maven,['${docker.maven.plugin.version}'],1
project.build.pluginManagement.plugins.plugin.org.springframework.boot:spring-boot-maven-plugin.artifactId,maven,['spring-boot-maven-plugin'],1
project.build.pluginManagement.plugins.plugin.org.springframework.boot:spring-boot-maven-plugin.groupId,maven,['org.springframework.boot'],1
project.build.pluginManagement.plugins.plugin.org.springframework.boot:spring-boot-maven-plugin:${spring-boot.version}.artifactId,maven,['spring-boot-maven-plugin'],1
project.build.pluginManagement.plugins.plugin.org.springframework.boot:spring-boot-maven-plugin:${spring-boot.version}.groupId,maven,['org.springframework.boot'],1
project.build.pluginManagement.plugins.plugin.org.springframework.boot:spring-boot-maven-plugin:${spring-boot.version}.version,maven,['${spring-boot.version}'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin.artifactId,maven,['docker-maven-plugin'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin.groupId,maven,['com.spotify'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.artifactId,maven,['docker-maven-plugin'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.baseImage,maven,['java:8'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.dockerHost,maven,['${docker.host}'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.entryPoint,maven,"['[""java"", ""-jar"", ""-Dspring.profiles.active=prod"",""/${project.build.finalName}.jar""]']",1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.imageName,maven,['mall/${project.artifactId}:${project.version}'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.resources.resource.directory,maven,['${project.build.directory}'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.resources.resource.include,maven,['${project.build.finalName}.jar'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.configuration.resources.resource.targetPath,maven,['/'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.executions.execution.goals.goal,maven,['build'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.executions.execution.id,maven,['build-image'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.executions.execution.phase,maven,['package'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.groupId,maven,['com.spotify'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:${docker.maven.plugin.version}.version,maven,['${docker.maven.plugin.version}'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.artifactId,maven,['docker-maven-plugin'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.configuration.baseImage,maven,['java:8'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.configuration.dockerHost,maven,"['${docker.host}', 'http://192.168.1.71:2375']",2
project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.configuration.entryPoint,maven,"['[""java"", ""-jar"", ""-Dspring.profiles.active=prod"",""/${project.build.finalName}.jar""]', '[""java"", ""-jar"",""-Dspring.profiles.active=prod"",""/${project.build.finalName}.jar""]']",2
project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.configuration.imageName,maven,['mall/${project.artifactId}:${project.version}'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.configuration.resources.resource.directory,maven,['${project.build.directory}'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.configuration.resources.resource.include,maven,['${project.build.finalName}.jar'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.configuration.resources.resource.targetPath,maven,['/'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.executions.execution.goals.goal,maven,['build'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.executions.execution.id,maven,['build-image'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.executions.execution.phase,maven,['package'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.groupId,maven,['com.spotify'],1
project.build.plugins.plugin.com.spotify:docker-maven-plugin:1.1.0.version,maven,['1.1.0'],1
project.build.plugins.plugin.io.fabric8:docker-maven-plugin.artifactId,maven,['docker-maven-plugin'],1
project.build.plugins.plugin.io.fabric8:docker-maven-plugin.groupId,maven,['io.fabric8'],1
project.build.plugins.plugin.org.apache.maven.plugins:maven-compiler-plugin.artifactId,maven,['maven-compiler-plugin'],1
project.build.plugins.plugin.org.apache.maven.plugins:maven-compiler-plugin.configuration.compilerArgs.arg,maven,['-parameters'],1
project.build.plugins.plugin.org.apache.maven.plugins:maven-compiler-plugin.groupId,maven,['org.apache.maven.plugins'],1
project.build.plugins.plugin.org.springframework.boot:spring-boot-maven-plugin.artifactId,maven,['spring-boot-maven-plugin'],1
project.build.plugins.plugin.org.springframework.boot:spring-boot-maven-plugin.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.cn.dev33:sa-token-jwt.artifactId,maven,['sa-token-jwt'],1
project.dependencies.dependency.cn.dev33:sa-token-jwt.groupId,maven,['cn.dev33'],1
project.dependencies.dependency.cn.dev33:sa-token-reactor-spring-boot3-starter.artifactId,maven,['sa-token-reactor-spring-boot3-starter'],1
project.dependencies.dependency.cn.dev33:sa-token-reactor-spring-boot3-starter.groupId,maven,['cn.dev33'],1
project.dependencies.dependency.cn.dev33:sa-token-redis-jackson.artifactId,maven,['sa-token-redis-jackson'],1
project.dependencies.dependency.cn.dev33:sa-token-redis-jackson.groupId,maven,['cn.dev33'],1
project.dependencies.dependency.cn.dev33:sa-token-spring-boot3-starter.artifactId,maven,['sa-token-spring-boot3-starter'],1
project.dependencies.dependency.cn.dev33:sa-token-spring-boot3-starter.groupId,maven,['cn.dev33'],1
project.dependencies.dependency.cn.hutool:hutool-all.artifactId,maven,['hutool-all'],1
project.dependencies.dependency.cn.hutool:hutool-all.groupId,maven,['cn.hutool'],1
project.dependencies.dependency.cn.hutool:hutool-all:4.5.7.artifactId,maven,['hutool-all'],1
project.dependencies.dependency.cn.hutool:hutool-all:4.5.7.groupId,maven,['cn.hutool'],1
project.dependencies.dependency.cn.hutool:hutool-all:4.5.7.version,maven,['4.5.7'],1
project.dependencies.dependency.cn.hutool:hutool-all:4.6.3.artifactId,maven,['hutool-all'],1
project.dependencies.dependency.cn.hutool:hutool-all:4.6.3.groupId,maven,['cn.hutool'],1
project.dependencies.dependency.cn.hutool:hutool-all:4.6.3.version,maven,['4.6.3'],1
project.dependencies.dependency.com.alibaba.cloud:spring-cloud-starter-alibaba-nacos-config.artifactId,maven,['spring-cloud-starter-alibaba-nacos-config'],1
project.dependencies.dependency.com.alibaba.cloud:spring-cloud-starter-alibaba-nacos-config.groupId,maven,['com.alibaba.cloud'],1
project.dependencies.dependency.com.alibaba.cloud:spring-cloud-starter-alibaba-nacos-discovery.artifactId,maven,['spring-cloud-starter-alibaba-nacos-discovery'],1
project.dependencies.dependency.com.alibaba.cloud:spring-cloud-starter-alibaba-nacos-discovery.groupId,maven,['com.alibaba.cloud'],1
project.dependencies.dependency.com.alibaba:druid-spring-boot-starter.artifactId,maven,['druid-spring-boot-starter'],1
project.dependencies.dependency.com.alibaba:druid-spring-boot-starter.groupId,maven,['com.alibaba'],1
project.dependencies.dependency.com.alibaba:druid-spring-boot-starter:1.1.10.artifactId,maven,['druid-spring-boot-starter'],1
project.dependencies.dependency.com.alibaba:druid-spring-boot-starter:1.1.10.groupId,maven,['com.alibaba'],1
project.dependencies.dependency.com.alibaba:druid-spring-boot-starter:1.1.10.version,maven,['1.1.10'],1
project.dependencies.dependency.com.alipay.sdk:alipay-sdk-java.artifactId,maven,['alipay-sdk-java'],1
project.dependencies.dependency.com.alipay.sdk:alipay-sdk-java.groupId,maven,['com.alipay.sdk'],1
project.dependencies.dependency.com.alipay.sdk:alipay-sdk-java:${alipay-sdk.version}.artifactId,maven,['alipay-sdk-java'],1
project.dependencies.dependency.com.alipay.sdk:alipay-sdk-java:${alipay-sdk.version}.groupId,maven,['com.alipay.sdk'],1
project.dependencies.dependency.com.alipay.sdk:alipay-sdk-java:${alipay-sdk.version}.version,maven,['${alipay-sdk.version}'],1
project.dependencies.dependency.com.aliyun.oss:aliyun-sdk-oss.artifactId,maven,['aliyun-sdk-oss'],1
project.dependencies.dependency.com.aliyun.oss:aliyun-sdk-oss.groupId,maven,['com.aliyun.oss'],1
project.dependencies.dependency.com.aliyun.oss:aliyun-sdk-oss:2.5.0.artifactId,maven,['aliyun-sdk-oss'],1
project.dependencies.dependency.com.aliyun.oss:aliyun-sdk-oss:2.5.0.groupId,maven,['com.aliyun.oss'],1
project.dependencies.dependency.com.aliyun.oss:aliyun-sdk-oss:2.5.0.version,maven,['2.5.0'],1
project.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter.artifactId,maven,['pagehelper-spring-boot-starter'],1
project.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter.groupId,maven,['com.github.pagehelper'],1
project.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter:1.2.10.artifactId,maven,['pagehelper-spring-boot-starter'],1
project.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter:1.2.10.groupId,maven,['com.github.pagehelper'],1
project.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter:1.2.10.version,maven,['1.2.10'],1
project.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter:1.2.3.artifactId,maven,['pagehelper-spring-boot-starter'],1
project.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter:1.2.3.groupId,maven,['com.github.pagehelper'],1
project.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter:1.2.3.version,maven,['1.2.3'],1
project.dependencies.dependency.com.github.pagehelper:pagehelper.artifactId,maven,['pagehelper'],1
project.dependencies.dependency.com.github.pagehelper:pagehelper.groupId,maven,['com.github.pagehelper'],1
project.dependencies.dependency.com.github.pagehelper:pagehelper:5.1.8.artifactId,maven,['pagehelper'],1
project.dependencies.dependency.com.github.pagehelper:pagehelper:5.1.8.groupId,maven,['com.github.pagehelper'],1
project.dependencies.dependency.com.github.pagehelper:pagehelper:5.1.8.version,maven,['5.1.8'],1
project.dependencies.dependency.com.github.xiaoymin:knife4j-gateway-spring-boot-starter.artifactId,maven,['knife4j-gateway-spring-boot-starter'],1
project.dependencies.dependency.com.github.xiaoymin:knife4j-gateway-spring-boot-starter.groupId,maven,['com.github.xiaoymin'],1
project.dependencies.dependency.com.github.xiaoymin:knife4j-micro-spring-boot-starter.artifactId,maven,['knife4j-micro-spring-boot-starter'],1
project.dependencies.dependency.com.github.xiaoymin:knife4j-micro-spring-boot-starter.groupId,maven,['com.github.xiaoymin'],1
project.dependencies.dependency.com.github.xiaoymin:knife4j-openapi3-jakarta-spring-boot-starter.artifactId,maven,['knife4j-openapi3-jakarta-spring-boot-starter'],1
project.dependencies.dependency.com.github.xiaoymin:knife4j-openapi3-jakarta-spring-boot-starter.groupId,maven,['com.github.xiaoymin'],1
project.dependencies.dependency.com.github.xiaoymin:knife4j-spring-boot-starter.artifactId,maven,['knife4j-spring-boot-starter'],1
project.dependencies.dependency.com.github.xiaoymin:knife4j-spring-boot-starter.groupId,maven,['com.github.xiaoymin'],1
project.dependencies.dependency.com.macro.mall:mall-common.artifactId,maven,['mall-common'],1
project.dependencies.dependency.com.macro.mall:mall-common.exclusions.exclusion.artifactId,maven,"['spring-boot-starter-data-redis', 'spring-boot-starter-web']",2
project.dependencies.dependency.com.macro.mall:mall-common.exclusions.exclusion.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.com.macro.mall:mall-common.groupId,maven,['com.macro.mall'],1
project.dependencies.dependency.com.macro.mall:mall-common:1.0-SNAPSHOT.artifactId,maven,['mall-common'],1
project.dependencies.dependency.com.macro.mall:mall-common:1.0-SNAPSHOT.groupId,maven,['com.macro.mall'],1
project.dependencies.dependency.com.macro.mall:mall-common:1.0-SNAPSHOT.version,maven,['1.0-SNAPSHOT'],1
project.dependencies.dependency.com.macro.mall:mall-mbg.artifactId,maven,['mall-mbg'],1
project.dependencies.dependency.com.macro.mall:mall-mbg.exclusions.exclusion.artifactId,maven,['spring-boot-starter-data-redis'],1
project.dependencies.dependency.com.macro.mall:mall-mbg.exclusions.exclusion.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.com.macro.mall:mall-mbg.groupId,maven,['com.macro.mall'],1
project.dependencies.dependency.com.macro.mall:mall-mbg:1.0-SNAPSHOT.artifactId,maven,['mall-mbg'],1
project.dependencies.dependency.com.macro.mall:mall-mbg:1.0-SNAPSHOT.groupId,maven,['com.macro.mall'],1
project.dependencies.dependency.com.macro.mall:mall-mbg:1.0-SNAPSHOT.version,maven,['1.0-SNAPSHOT'],1
project.dependencies.dependency.com.macro.mall:mall-security.artifactId,maven,['mall-security'],1
project.dependencies.dependency.com.macro.mall:mall-security.groupId,maven,['com.macro.mall'],1
project.dependencies.dependency.com.macro:mall-mbg:1.0-SNAPSHOT.artifactId,maven,['mall-mbg'],1
project.dependencies.dependency.com.macro:mall-mbg:1.0-SNAPSHOT.groupId,maven,['com.macro'],1
project.dependencies.dependency.com.macro:mall-mbg:1.0-SNAPSHOT.version,maven,['1.0-SNAPSHOT'],1
project.dependencies.dependency.com.nimbusds:nimbus-jose-jwt.artifactId,maven,['nimbus-jose-jwt'],1
project.dependencies.dependency.com.nimbusds:nimbus-jose-jwt.groupId,maven,['com.nimbusds'],1
project.dependencies.dependency.de.codecentric:spring-boot-admin-starter-client.artifactId,maven,['spring-boot-admin-starter-client'],1
project.dependencies.dependency.de.codecentric:spring-boot-admin-starter-client.groupId,maven,['de.codecentric'],1
project.dependencies.dependency.de.codecentric:spring-boot-admin-starter-server.artifactId,maven,['spring-boot-admin-starter-server'],1
project.dependencies.dependency.de.codecentric:spring-boot-admin-starter-server.groupId,maven,['de.codecentric'],1
project.dependencies.dependency.io.github.openfeign:feign-okhttp.artifactId,maven,['feign-okhttp'],1
project.dependencies.dependency.io.github.openfeign:feign-okhttp.groupId,maven,['io.github.openfeign'],1
project.dependencies.dependency.io.jsonwebtoken:jjwt.artifactId,maven,['jjwt'],1
project.dependencies.dependency.io.jsonwebtoken:jjwt.groupId,maven,['io.jsonwebtoken'],1
project.dependencies.dependency.io.jsonwebtoken:jjwt:0.9.0.artifactId,maven,['jjwt'],1
project.dependencies.dependency.io.jsonwebtoken:jjwt:0.9.0.groupId,maven,['io.jsonwebtoken'],1
project.dependencies.dependency.io.jsonwebtoken:jjwt:0.9.0.version,maven,['0.9.0'],1
project.dependencies.dependency.io.minio:minio.artifactId,maven,['minio'],1
project.dependencies.dependency.io.minio:minio.groupId,maven,['io.minio'],1
project.dependencies.dependency.io.springfox:springfox-swagger-ui.artifactId,maven,['springfox-swagger-ui'],1
project.dependencies.dependency.io.springfox:springfox-swagger-ui.groupId,maven,['io.springfox'],1
project.dependencies.dependency.io.springfox:springfox-swagger-ui:2.6.1.artifactId,maven,['springfox-swagger-ui'],1
project.dependencies.dependency.io.springfox:springfox-swagger-ui:2.6.1.groupId,maven,['io.springfox'],1
project.dependencies.dependency.io.springfox:springfox-swagger-ui:2.6.1.version,maven,['2.6.1'],1
project.dependencies.dependency.io.springfox:springfox-swagger-ui:2.7.0.artifactId,maven,['springfox-swagger-ui'],1
project.dependencies.dependency.io.springfox:springfox-swagger-ui:2.7.0.groupId,maven,['io.springfox'],1
project.dependencies.dependency.io.springfox:springfox-swagger-ui:2.7.0.version,maven,['2.7.0'],1
project.dependencies.dependency.io.springfox:springfox-swagger2.artifactId,maven,['springfox-swagger2'],1
project.dependencies.dependency.io.springfox:springfox-swagger2.groupId,maven,['io.springfox'],1
project.dependencies.dependency.io.springfox:springfox-swagger2:2.6.1.artifactId,maven,['springfox-swagger2'],1
